PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked
1,0,1,Passenger_1,female,13,0,1,T1,135.2361183366457,D,Q
2,1,2,Passenger_2,female,56,3,3,T2,189.2112349999027,F,S
3,1,3,Passenger_3,male,8,3,3,T3,166.33404113034294,A,S
4,1,3,Passenger_4,male,79,2,2,T4,81.6215058288019,F,C
5,1,3,Passenger_5,male,10,2,2,T5,180.18907855224722,T,S
6,0,2,Passenger_6,male,41,0,0,T6,38.464294205858266,G,C
7,0,2,Passenger_7,female,47,0,2,T7,175.44260888323177,nan,nan
8,0,3,Passenger_8,female,35,1,2,T8,162.87426214696652,D,S
9,0,3,Passenger_9,male,18,4,2,T9,66.63657416619998,B,C
10,0,1,Passenger_10,female,46,4,2,T10,70.58869730224097,G,S
11,0,3,Passenger_11,male,68,2,3,T11,122.10350527383947,F,S
12,0,1,Passenger_12,male,49,4,0,T12,33.42520526934555,A,S
13,0,3,Passenger_13,female,52,3,3,T13,176.70609711122228,B,S
14,1,3,Passenger_14,male,47,3,0,T14,14.027799723655225,B,S
15,0,1,Passenger_15,male,55,3,0,T15,186.61540598736957,nan,Q
16,1,2,Passenger_16,male,58,1,0,T16,151.89742407488635,D,S
17,1,1,Passenger_17,male,5,0,2,T17,52.397732207342045,G,nan
18,1,1,Passenger_18,female,18,3,1,T18,58.200927221976364,nan,Q
19,1,3,Passenger_19,male,67,0,0,T19,30.390113848683495,G,S
20,1,1,Passenger_20,female,47,4,2,T20,87.11797952491608,F,S
21,1,3,Passenger_21,male,13,0,0,T21,156.77094768107054,G,S
22,0,2,Passenger_22,male,1,0,2,T22,191.44607913944267,D,C
23,0,1,Passenger_23,male,22,0,2,T23,17.15918605395597,E,S
24,0,3,Passenger_24,female,27,4,0,T24,176.48612388990313,F,S
25,0,3,Passenger_25,female,76,3,1,T25,199.07066266998885,T,S
26,1,2,Passenger_26,male,1,4,0,T26,88.66551298892118,nan,S
27,1,2,Passenger_27,female,30,2,1,T27,124.21002138968382,nan,C
28,1,3,Passenger_28,male,77,1,0,T28,92.54493112142703,G,S
29,1,1,Passenger_29,female,45,4,2,T29,196.63355074815956,F,S
30,0,1,Passenger_30,female,63,4,2,T30,194.8594168141718,G,S
31,0,3,Passenger_31,female,49,0,2,T31,118.74022831209167,G,S
32,0,2,Passenger_32,female,16,2,0,T32,168.6034311653761,G,S
33,0,1,Passenger_33,female,73,2,1,T33,75.92962406924804,T,S
34,0,1,Passenger_34,female,32,3,1,T34,68.77962343226748,E,S
35,1,2,Passenger_35,male,54,2,1,T35,10.444527419254623,nan,S
36,0,2,Passenger_36,female,51,0,3,T36,108.45826070582886,C,S
37,1,3,Passenger_37,female,71,4,1,T37,58.96064883195636,G,nan
38,0,3,Passenger_38,male,30,4,1,T38,177.01652924278198,nan,S
39,0,2,Passenger_39,female,32,3,3,T39,158.78781592120035,G,S
40,0,2,Passenger_40,female,68,1,1,T40,109.5798251388583,T,C
41,0,3,Passenger_41,male,42,2,3,T41,104.9041937376392,T,S
42,0,3,Passenger_42,female,8,4,1,T42,171.43878667330938,D,S
43,1,2,Passenger_43,female,38,4,1,T43,187.9757110499022,nan,C
44,1,2,Passenger_44,male,27,2,0,T44,104.84590734503666,B,C
45,0,2,Passenger_45,female,12,0,0,T45,22.08602568184117,E,S
46,0,3,Passenger_46,female,24,4,2,T46,148.55568371537703,C,nan
47,0,3,Passenger_47,female,27,2,2,T47,54.705908828731275,nan,C
48,0,3,Passenger_48,female,58,1,2,T48,152.62441249262392,F,S
49,0,3,Passenger_49,female,71,2,2,T49,11.468948039718068,C,nan
50,1,2,Passenger_50,male,25,2,2,T50,20.654109234693287,D,Q
51,0,1,Passenger_51,male,28,4,3,T51,173.2716194460856,T,C
52,1,2,Passenger_52,male,19,2,0,T52,75.45905918041464,C,C
53,1,3,Passenger_53,female,42,1,0,T53,86.55220416355667,D,nan
54,0,2,Passenger_54,female,38,1,0,T54,47.735193199300944,F,S
55,1,2,Passenger_55,male,63,0,1,T55,41.415469271896576,A,S
56,0,1,Passenger_56,male,18,1,3,T56,53.767113602318716,G,S
57,1,3,Passenger_57,female,59,4,1,T57,94.96936902962432,G,S
58,1,3,Passenger_58,female,51,4,1,T58,110.83998092836032,G,S
59,1,3,Passenger_59,male,60,1,2,T59,129.28157172259984,T,nan
60,0,2,Passenger_60,male,36,4,2,T60,96.1692097899289,B,S
61,0,2,Passenger_61,female,11,2,2,T61,159.51718108113545,F,C
62,0,2,Passenger_62,female,6,1,0,T62,39.84423705629311,A,Q
63,0,3,Passenger_63,male,11,4,1,T63,93.95157253232905,T,S
64,1,3,Passenger_64,male,41,2,2,T64,72.46339760798728,C,S
65,0,3,Passenger_65,male,6,0,2,T65,155.39969663807332,E,C
66,1,2,Passenger_66,male,55,3,2,T66,112.92858246282427,F,Q
67,0,3,Passenger_67,female,29,4,0,T67,36.43918776321313,D,S
68,1,2,Passenger_68,female,41,2,2,T68,175.07788341142341,G,S
69,1,3,Passenger_69,female,54,0,1,T69,120.12433842610699,T,C
70,1,3,Passenger_70,female,67,4,3,T70,43.65471058149544,nan,S
71,0,3,Passenger_71,female,41,3,1,T71,113.85125137939735,F,S
72,1,1,Passenger_72,female,37,2,3,T72,149.85216267755848,D,C
73,0,2,Passenger_73,male,29,2,1,T73,136.84690287888668,B,S
74,1,3,Passenger_74,female,29,2,3,T74,125.44139851572059,nan,S
75,0,2,Passenger_75,female,53,1,2,T75,184.5509933239459,D,S
76,1,2,Passenger_76,male,35,2,1,T76,46.30887000959259,C,S
77,0,3,Passenger_77,female,1,1,0,T77,78.59465194787043,D,C
78,1,1,Passenger_78,female,63,0,1,T78,39.625305833094224,F,S
79,0,3,Passenger_79,male,39,3,1,T79,111.7596712379331,G,C
80,0,1,Passenger_80,male,5,3,1,T80,72.07354288214108,E,S
81,0,2,Passenger_81,male,78,0,1,T81,23.221854852827967,B,C
82,1,3,Passenger_82,female,35,2,2,T82,185.47566748327574,D,C
83,0,1,Passenger_83,male,52,2,3,T83,73.66726833482224,D,S
84,1,3,Passenger_84,female,50,4,1,T84,41.42431762234557,D,C
